Time(s),phi,phi_dot
52.2,0.034862547,0.08966869
52.3,0.043940585,0.091819885
52.4,0.053205881,0.093438953
52.5,0.062605706,0.094516226
52.6,0.072086711,0.095046696
52.7,0.081594922,0.095030008
52.8,0.091075743,0.094470463
52.9,0.100473957,0.093377021
53,0.109737783,0.091761484
53.1,0.118819028,0.089635232
53.2,0.127663237,0.087014161
53.3,0.136219146,0.083917152
53.4,0.144438959,0.080365987
53.5,0.15227835,0.076385351
53.6,0.159696457,0.072002832
53.7,0.166655889,0.067248923
53.8,0.173122719,0.062157015
53.9,0.179066492,0.056763405
54,0.184460217,0.051107292
54.1,0.189282706,0.045223759
54.2,0.193512865,0.039145396
54.3,0.197129078,0.032911446
54.4,0.200114508,0.026560937
54.5,0.202457107,0.020132659
54.6,0.204149616,0.013665173
54.7,0.205189562,0.007196807
54.8,0.205579262,0.000765653
54.9,0.205325821,-0.005590426
55,0.204441129,-0.011833803
55.1,0.202941869,-0.017927082
55.2,0.200849218,-0.023833353
55.3,0.198180239,-0.029521688
55.4,0.194955931,-0.034957348
55.5,0.191203026,-0.040104991
55.6,0.186951246,-0.044931879
55.7,0.182233303,-0.049407878
55.8,0.177084901,-0.053505459
55.9,0.171544733,-0.057199695
56,0.165654483,-0.060468264
56.1,0.159458825,-0.063291447
56.2,0.153005423,-0.065652129
56.3,0.146340034,-0.067536192
56.4,0.139508663,-0.06892999
56.5,0.132563762,-0.069821539
56.6,0.125557239,-0.070202874
56.7,0.118540423,-0.070070051
56.8,0.111564062,-0.06942315
56.9,0.104678323,-0.068266274
57,0.097932794,-0.066607551
57.1,0.09137648,-0.06445913
57.2,0.085057807,-0.061837186
57.3,0.07902123,-0.058760253
57.4,0.073307929,-0.055247061
57.5,0.067965359,-0.05132155
57.6,0.063037025,-0.047010161
57.7,0.058562106,-0.04234169
57.8,0.054575453,-0.037347299
57.9,0.051107594,-0.032060504
58,0.048184732,-0.026517188
58.1,0.045828742,-0.020755589
58.2,0.044057176,-0.014816308
58.3,0.042883258,-0.008742305
58.4,0.042316393,-0.002576613
58.5,0.042365524,0.00364357
58.6,0.04303613,0.009873792
58.7,0.044328859,0.01606995
58.8,0.046239597,0.022189276
58.9,0.048759475,0.028190337
59,0.051874862,0.034033043
59.1,0.05556737,0.039678635
59.2,0.059813853,0.045089697
59.3,0.064586404,0.050230146
59.4,0.06985448,0.055066404
59.5,0.075589484,0.059567945
59.6,0.081755662,0.063702658
59.7,0.088314791,0.067441918
59.8,0.095226638,0.070760926
59.9,0.102448962,0.073638707
60,0.10993751,0.076058114
60.1,0.11764602,0.078005821
60.2,0.125526221,0.079472329
60.3,0.133527838,0.080451965
60.4,0.141604242,0.080941976
60.5,0.149707109,0.080940606
60.6,0.15778451,0.080449054
60.7,0.165786267,0.079471924
60.8,0.173663957,0.078017218
60.9,0.181370908,0.076096342
61,0.188862202,0.073724104
61.1,0.196094674,0.070918712
61.2,0.20302691,0.067701777
61.3,0.209619251,0.064098311
61.4,0.215835485,0.060135242
61.5,0.221645503,0.055834815
61.6,0.227013005,0.051223602
61.7,0.231904572,0.046329784
61.8,0.236290808,0.041182471
61.9,0.240146337,0.035811698
62,0.243449801,0.030248432
62.1,0.246183866,0.024524562
62.2,0.248335215,0.01867291
62.3,0.249894555,0.012727222
62.4,0.25085661,0.006722172
62.5,0.251220127,0.000693362
62.6,0.25098773,-0.005324194
62.7,0.250162223,-0.011305835
62.8,0.248746142,-0.017217431
62.9,0.246745572,-0.023023333
63,0.244170337,-0.028689275
63.1,0.241034001,-0.034182375
63.2,0.237353867,-0.039471135
63.3,0.233150977,-0.044525443
63.4,0.228450114,-0.049316569
63.5,0.223279798,-0.053817168
63.6,0.217672291,-0.058001278
63.7,0.211663593,-0.061844323
63.8,0.205293443,-0.065323109
63.9,0.198601623,-0.068416575
64,0.191619536,-0.071105492
64.1,0.184390078,-0.073368944
64.2,0.176957858,-0.075189221
64.3,0.16936803,-0.076552184
64.4,0.161666295,-0.077447256
64.5,0.153898893,-0.077867428
64.6,0.146112612,-0.077809256
64.7,0.138354781,-0.077272862
64.8,0.130673275,-0.076261933
64.9,0.123116449,-0.07478371
65,0.115726044,-0.072846963
65.1,0.108547693,-0.070462512
65.2,0.101629894,-0.067644863
65.3,0.095017773,-0.064411479
65.4,0.088753085,-0.060782772
65.5,0.082874218,-0.056782111
65.6,0.077416188,-0.052435817
65.7,0.072410643,-0.047773164
65.8,0.067885858,-0.042826381
65.9,0.063866742,-0.037630648
66,0.060374831,-0.032224101
66.1,0.057427401,-0.026642606
66.2,0.055040829,-0.020920659
66.3,0.053230348,-0.015099701
66.4,0.052006394,-0.009220717
66.5,0.051374577,-0.003324162
66.6,0.051335691,0.002550033
66.7,0.051885705,0.008362467
66.8,0.053015768,0.014074264
66.9,0.054712209,0.019647077
67,0.056956534,0.025043085
67.1,0.059725433,0.030224998
67.2,0.062996923,0.035159349
67.3,0.066747629,0.039813085
67.4,0.070947558,0.044152968
67.5,0.075564174,0.048149013
67.6,0.080562397,0.051774487
67.7,0.085904603,0.055005906
67.8,0.091550627,0.057823037
67.9,0.097457758,0.0602089
68,0.103580744,0.062149764
68.1,0.109875523,0.063635249
68.2,0.116297301,0.064656094
68.3,0.122796841,0.065205131
68.4,0.12932573,0.065278813
68.5,0.135836399,0.064877216
68.6,0.142282125,0.064004044
68.7,0.14861703,0.062666623
68.8,0.154796077,0.060875904
68.9,0.160775078,0.058646461
69,0.166510687,0.055996497
69.1,0.171964542,0.052944607
69.2,0.177098218,0.049508929
69.3,0.181870533,0.045711554
69.4,0.186243936,0.041576279
69.5,0.190184508,0.037128611
69.6,0.19366197,0.03239576
69.7,0.196649678,0.027406642
69.8,0.199124622,0.02219188
69.9,0.201067433,0.016783801
70,0.202462374,0.01121644
70.1,0.203297347,0.005525536
70.2,0.203564918,-0.000256717
70.3,0.203257599,-0.006100717
70.4,0.202367305,-0.011969335
70.5,0.200890184,-0.017826078
70.6,0.198826663,-0.0236352
70.7,0.196181448,-0.0293617
70.8,0.192963521,-0.034971327
70.9,0.189186142,-0.040430574
71,0.184866848,-0.045706683
71.1,0.180027457,-0.050767642
71.2,0.174694061,-0.055582185
71.3,0.168897031,-0.060119794
71.4,0.162669092,-0.064351643
71.5,0.156035111,-0.068253539
71.6,0.149029322,-0.07179694
71.7,0.141689454,-0.074955519
71.8,0.134054881,-0.07770634
71.9,0.126166619,-0.080029857
72,0.11806733,-0.081909918
72.1,0.10980132,-0.083333759
72.2,0.101414542,-0.084292008
72.3,0.092954588,-0.084778687
72.4,0.084470697,-0.084791205
72.5,0.07600698,-0.084329647
72.6,0.067609695,-0.083395098
72.7,0.059329917,-0.08199168
72.8,0.051216343,-0.080127083
72.9,0.043315296,-0.077812567
73,0.03567072,-0.075062961
73.1,0.028324182,-0.071896662
73.2,0.021314876,-0.068335638
73.3,0.014679616,-0.064405425
73.4,0.00845284,-0.060135126
73.5,0.002666594,-0.055557385
73.6,-0.002652021,-0.050701531
73.7,-0.007475593,-0.045598781
73.8,-0.011778125,-0.040285351
73.9,-0.015538268,-0.034798017
74,-0.018739321,-0.029174115
74.1,-0.021369232,-0.023451539
74.2,-0.023420596,-0.017668744
74.3,-0.024890659,-0.011864745
74.4,-0.025781313,-0.006079117
74.5,-0.0260991,-0.000351993
74.6,-0.02585218,0.005278579
74.7,-0.025049306,0.010775612
74.8,-0.023705314,0.016100389
74.9,-0.021838681,0.021216313
75,-0.019471505,0.026088924
75.1,-0.016629505,0.030685901
75.2,-0.013342022,0.034977062
75.3,-0.009642021,0.038934362
75.4,-0.00556503,0.042532343
75.5,-0.001146538,0.045747707
75.6,0.003572821,0.048556999
75.7,0.008550927,0.050940165
75.8,0.013744589,0.052880814
75.9,0.019109545,0.054366227
76,0.024600464,0.05538735
76.1,0.030170945,0.055938799
76.2,0.035773514,0.056018855
76.3,0.041360772,0.055629189
76.4,0.046888631,0.054772567
76.5,0.052308054,0.053454403
76.6,0.057571326,0.051683385
76.7,0.062633002,0.049471384
76.8,0.067449909,0.046833446
76.9,0.071981142,0.043787801
77,0.076188067,0.040355858
77.1,0.080034318,0.036562208
77.2,0.083485802,0.032434619
77.3,0.086512567,0.028000871
77.4,0.089085493,0.023288482
77.5,0.09117503,0.01832972
77.6,0.092755952,0.013157767
77.7,0.093807387,0.00780669
77.8,0.09431281,0.002311433
77.9,0.094260052,-0.003292176
78,0.093641292,-0.008967427
78.1,0.092453061,-0.01467673
78.2,0.090696244,-0.020381613
78.3,0.088374926,-0.026044912
78.4,0.085493062,-0.031632091
78.5,0.082058976,-0.037103747
78.6,0.078084913,-0.042422008
78.7,0.073586933,-0.047550878
78.8,0.068584912,-0.052456233
78.9,0.063102541,-0.057105826
79,0.057167324,-0.061469282
79.1,0.050810584,-0.065518102
79.2,0.044067456,-0.069225659
79.3,0.036973718,-0.072568495
79.4,0.02956406,-0.075524638
79.5,0.021879987,-0.078071267
79.6,0.013964005,-0.080189319
79.7,0.00585944,-0.081863591
79.8,-0.002389563,-0.083082743
79.9,-0.010738042,-0.083839294
80,-0.019140215,-0.084129626
80.1,-0.02754948,-0.083953983
80.2,-0.035918419,-0.083316468
80.3,-0.044200449,-0.082224286
80.4,-0.052353989,-0.080684163
80.5,-0.060332059,-0.078706874
80.6,-0.068089485,-0.076306331
80.7,-0.075583861,-0.073499271
80.8,-0.082775548,-0.07030526
80.9,-0.089627677,-0.066746691
81,-0.096106143,-0.062848782
81.1,-0.10217961,-0.058639577
81.2,-0.10781951,-0.054149951
81.3,-0.113001104,-0.049411407
81.4,-0.117702357,-0.044452403
81.5,-0.121899731,-0.039307004
81.6,-0.12557371,-0.034009819
81.7,-0.128709093,-0.028595598
81.8,-0.131294994,-0.023099241
81.9,-0.13332484,-0.017555789
82,-0.134796369,-0.01200043
82.1,-0.135711637,-0.006468498
82.2,-0.136077011,-0.00099547
82.3,-0.135903173,0.00438303
82.4,-0.135202021,0.009635113
82.5,-0.133985184,0.014729385
82.6,-0.132269486,0.019630775
82.7,-0.130074841,0.024306494
82.8,-0.127424243,0.028726064
82.9,-0.124343764,0.032861312
83,-0.120862554,0.036686371
